5vSUp,k1n4Q/2R5/4p3/p2pBP2/K1n3P1/2P5/2q5/8 w - - 7 41,a4b5 c2b3 b5c6 c4e5 h8e5 b3a4 c6c5 a4c4,2455,77,92,2179,endgame mate mateIn4 veryLong,https://lichess.org/L6MgH7Tf#81,
5vlyO,4r1k1/1p1B3p/p2p2p1/3P4/5P1n/P1Q1q2P/1P4r1/2R2R1K w - - 2 31,d7e8 g2h2 h1h2 e3e2 f1f2 e2f2 h2h1 f2g2,2501,83,93,5011,attraction exposedKing fork mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/eZMktQZ5#61,
6Bty1,3rk3/5R1R/p3r2p/1p6/1P6/PQ3P2/5P1P/2q2K2 w - - 13 32,f1g2 e6g6 g2h3 c1f1 h3h4 f1f2 h4h5 g6g5 h5h6 f2h4,2478,75,93,2778,endgame mate mateIn5 veryLong,https://lichess.org/J9u2Urlh#63,
6ENeh,1rkb2nr/Rp1b1pp1/2pp1q1p/8/1Q1NP3/1PN5/2P1BPPP/5RK1 b - - 0 19,c6c5 b4b7 b8b7 a7a8 b7b8 e2a6 c8c7 c3d5,2430,77,93,3745,mate mateIn4 middlegame queensideAttack sacrifice veryLong,https://lichess.org/DvgAmb2I/black#38,Kings_Pawn_Game Kings_Pawn_Game_Leonardis_Variation
6NPdQ,3r2kB/5p2/R1B5/1p3p1p/6pP/1Q1n2P1/5q1K/6N1 w - - 1 34,c6g2 f2g3 h2g3 f5f4 g3h2 g4g3 h2h1 d3f2,2656,80,94,2229,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/Bs34pj92#67,
6Qb48,rn4k1/ppp2r1p/1b5q/4Q1N1/3P1P2/2P5/PP5P/2K3R1 b - - 0 24,b8d7 e5h8 g8h8 g5f7,2467,81,92,5202,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/ZdOv5mZf/black#48,
6TFPU,5r2/1R3pp1/r1p4p/4p3/PkP1P3/5P1P/5P2/R5K1 b - - 2 28,b4c4 a1c1 c4d3 b7d7 d3e2 c1c3 c6c5 c3e3,2555,91,92,2508,endgame mate mateIn4 rookEndgame veryLong,https://lichess.org/wnPfdUTn/black#56,
6TylV,4Bb2/5R1p/3p3k/3Pp3/4P1P1/5P2/6K1/4q3 b - - 8 37,f8g7 g4g5 h6h5 f7f4 h5g5 f4f5 g5h6 f5h5,2562,83,93,3857,discoveredAttack endgame exposedKing mate mateIn4 veryLong,https://lichess.org/I0I9t5aB/black#74,
6WMwx,r3k2r/pbR2pp1/1p2p3/4Q3/1P1p2qp/3P2P1/P4P1P/4R1K1 b kq - 1 25,b7d5 e5d6 g4g5 d6d7 e8f8 d7f7,2467,80,93,2140,long mate mateIn3 middlegame,https://lichess.org/wsT4YYct/black#50,
6gIer,r5k1/pp2rp2/5Q2/8/4pB2/1B3n1q/PPP2P1P/3R3K b - - 2 27,e7d7 d1g1 f3g1 f6g6 g8h8 f4e5 f7f6 e5f6 d7g7 g6g7,2561,84,93,3567,mate mateIn5 middlegame pin sacrifice veryLong,https://lichess.org/OXG90xHp/black#54,
6lNCC,8/4b3/4PpQp/8/5kP1/2p5/1q3P1P/6K1 b - - 2 37,f4f3 g6d3 f3g4 f2f3 g4g5 h2h4 g5f4 d3e4 f4g3 e4g4,2662,88,94,1857,endgame mate mateIn5 veryLong,https://lichess.org/Kh7o4i5g/black#74,
6wglF,3r4/pp3pk1/6p1/2P3P1/5RR1/2P5/qP3Q2/2K1r3 w - - 1 33,c1c2 e1c1 c2c1 a2a1 c1c2 a1d1,2444,77,95,5813,attraction endgame long mate mateIn3 sacrifice,https://lichess.org/i0rfPO7o#65,
70tFj,r6r/pp2R1bk/6p1/2pN2Np/2P3n1/3q4/PP1B2P1/2K2R2 b - - 1 25,h7g8 e7g7 g8g7 g5e6 g7g8 d5e7 g8h7 f1f7,2524,79,93,1006,attraction exposedKing kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/HimHaSne/black#50,
7FlaL,r1b2rk1/ppp1npp1/7p/P2q2NQ/8/3B4/P4PPP/bNBR2K1 b - - 1 14,d5a5 h5f7 f8f7 d3h7 g8h8 d1d8 f7f8 d8f8 e7g8 f8g8,2495,83,93,2369,kingsideAttack mate mateIn5 opening sacrifice veryLong,https://lichess.org/k1jdiaXd/black#28,Italian_Game Italian_Game_Giuoco_Piano
7LJPY,r6r/1p1bnB2/p2k4/2Rp2N1/PP1PP1pp/6b1/4K1P1/2R5 b - - 0 28,a8c8 e4e5 g3e5 g5e4 d5e4 d4e5,2471,77,92,2223,intermezzo long mate mateIn3 middlegame,https://lichess.org/YQ0KsnLm/black#56,
7Tnje,1r5k/p1R3bp/4N1p1/P2Pp3/3p4/Q3n1P1/1r3qBP/6RK w - - 1 31,c7g7 f2g1 h1g1 b2g2 g1h1 b8b1 a3c1 b1c1,2412,80,93,2623,attraction discoveredAttack kingsideAttack mate mateIn4 middlegame veryLong,https://lichess.org/wRgQCeS4#61,
7WDd9,4Q3/5pbk/5qp1/8/1Rp3P1/5P1K/2R4P/8 w - - 1 48,b4c4 f6f3 h3h4 g7f6 g4g5 f6g5 h4g5 f7f6 g5h4 g6g5,2527,93,94,4891,attraction endgame mate mateIn5 veryLong,https://lichess.org/90nh3si9#95,
7XmkR,3rk3/pp3p1R/2p1pPpQ/8/2P2P2/1P5P/P2q2PK/4r3 b - - 2 36,e1f1 h6f8 e8d7 f8f7 d7d6 f7e7,2406,79,94,1668,deflection endgame long master mate mateIn3,https://lichess.org/mZ7cAD1b/black#72,
7bS2X,4r2k/2Q4p/6p1/R2P2r1/P2b4/1P6/5KP1/6R1 w - - 5 41,f2f3 e8e3 f3f4 g5f5 f4g4 h7h5 g4h4 d4f6,2453,77,94,1151,endgame exposedKing mate mateIn4 veryLong,https://lichess.org/MAAssbM4#81,
7iLwZ,N4bnr/pQ3ppp/4pk2/q1pp1b2/3P1B2/5N2/PP2PPPP/n1K2B1R b - - 2 13,a5a2 f4g5 f6g6 b7f7 g6f7 f3e5 f7e8 a8c7,2615,91,93,3785,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/xLpniG9k/black#26,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
7lxLK,2kr4/pp3R1p/2pq1B2/2b1p3/2BnP3/2N2P2/PP3P1P/R2QK1r1 w Q - 1 16,c4f1 d4f3 e1e2 d6d2 d1d2 d8d2 e2f3 d2f2,2455,80,93,2574,mate mateIn4 middlegame veryLong,https://lichess.org/VQ63pw8o#31,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
7s4Fj,r2b1kr1/1p2q1p1/p1p1b2p/3nN2Q/P1B5/1P6/2P2PPP/R3R1K1 b - - 4 23,e7g5 h5f7 e6f7 e5d7,2532,84,94,3078,mate mateIn2 middlegame sacrifice short,https://lichess.org/5EdHNVNT/black#46,
7yF68,6k1/1pq2pbp/p2p2p1/5r2/2r5/4Q3/PP1B2PP/R3R2K b - - 5 28,c4c2 e3e8 g7f8 e8f8 g8f8 d2h6 f8g8 e1e8,2458,77,93,4728,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/MHEJnltg/black#56,
82186,3r3k/1p3p1p/p1rbpN2/3p4/5P1Q/8/1qn3PP/5R1K b - - 2 28,h8g7 f6h5 g7g8 h4g5 g8h8 g5d8 d6f8 d8f8,2489,81,94,3526,mate mateIn4 middlegame veryLong,https://lichess.org/KoIJDm2f/black#56,
83bYJ,7k/1b4pp/pp3N2/n4p2/4n3/PB3NqP/1P4P1/3R2K1 b - - 0 32,g7g6 d1d8 h8g7 d8d7 g7f6 d7f7,2414,79,92,1442,long mate mateIn3 middlegame sacrifice,https://lichess.org/NFtiYepV/black#64,
86iKo,1n1k2Br/1p3Qpp/r1p5/p2p4/1b1P2P1/1K1q4/PP3P1P/RNB1R3 w - - 11 21,b1c3 a5a4 b3b4 d3d4 b4a3 d4c5 b2b4 c5c3,2458,77,93,1604,deflection exposedKing mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/kW3DCDN1#41,
87aA2,8/Q5p1/2N2pkp/3p4/1P1P4/5qPK/7P/8 w - - 2 49,c6e7 g6h5 a7a2 g7g5 a2d5 f3f1 d5g2 g5g4,2524,81,92,4371,defensiveMove endgame mate mateIn4 quietMove veryLong,https://lichess.org/l5At6C1d#97,
